throttle,velocity,acceleration
0.36,0.647016,0.787728
0.36,0.661891,0.501024
0.36,0.680823,0.548632
0.36,0.701367,0.423955
0.36,0.740489,0.467363
0.36,0.754000,0.460545
0.36,0.762962,0.410691
0.36,0.771054,0.348434
0.36,0.784989,0.222500
0.36,0.798983,0.224916
0.36,0.816208,0.266232
0.36,0.834492,0.317191
0.36,0.851746,0.333785
0.36,0.868241,0.346291
0.36,0.888861,0.363266
0.36,0.909497,0.375022
0.36,0.927993,0.381239
0.36,0.946448,0.391031
0.36,0.965297,0.382180
0.36,0.982971,0.367370
0.36,0.999637,0.358216
0.36,1.015542,0.345472
0.36,1.030848,0.327755
0.36,1.045510,0.312698
0.36,1.059706,0.300347
0.36,1.073368,0.289130
0.36,1.086596,0.278739
0.36,1.099361,0.269251
0.36,1.110761,0.255274
0.36,1.121121,0.238764
0.36,1.131992,0.226982
0.36,1.142945,0.217923
0.36,1.153809,0.215239
0.36,1.164475,0.216772
0.36,1.174938,0.214727
0.36,1.185191,0.211231
0.36,1.195309,0.207501
0.36,1.205300,0.204121
0.36,1.215203,0.201327
0.36,1.225016,0.199125
0.36,1.234736,0.197134
0.36,1.244344,0.195220
0.36,1.253815,0.193060
0.36,1.263126,0.190549
0.36,1.272279,0.187715
0.36,1.281249,0.184527
0.36,1.290043,0.181136
0.36,1.298647,0.177605
0.36,1.307074,0.173974
0.36,1.315317,0.170340
0.36,1.323381,0.166693
0.36,1.331272,0.163127
0.36,1.338996,0.159611
0.36,1.347525,0.161041
0.36,1.356528,0.165732
0.36,1.364674,0.167008
0.36,1.375131,0.180678
0.36,1.382856,0.176653
0.36,1.392566,0.180193
0.36,1.401111,0.182183
0.36,1.408963,0.169158
0.36,1.416308,0.167260
0.36,1.423286,0.153597
0.36,1.429949,0.144191
0.36,1.436385,0.137110
0.36,1.442602,0.131473
0.36,1.448649,0.126819
0.36,1.454522,0.122868
0.36,1.460253,0.119341
0.36,1.465839,0.116182
0.36,1.471298,0.113241
0.36,1.476620,0.110487
0.36,1.481829,0.107879
0.36,1.486916,0.105386
0.36,1.491893,0.102980
0.36,1.496754,0.100671
0.36,1.501514,0.098422
0.36,1.506160,0.096221
0.36,1.510710,0.094083
0.36,1.515155,0.092006
0.36,1.519507,0.089969
0.36,1.523757,0.087985
0.36,1.527919,0.086043
0.36,1.531986,0.084153
0.36,1.535968,0.082305
0.36,1.539858,0.080502
0.36,1.543665,0.078733
0.36,1.547386,0.077001
0.36,1.551027,0.075294
0.36,1.554584,0.073632
0.36,1.558069,0.072018
0.36,1.561472,0.070430
0.36,1.564806,0.068892
0.36,1.568061,0.067387
0.36,1.571249,0.065901
0.36,1.574361,0.064443
0.36,1.577409,0.063016
0.36,1.580383,0.061610
0.36,1.583300,0.060254
0.36,1.586147,0.058933
0.36,1.588935,0.057633
0.36,1.591660,0.056382
0.36,1.594327,0.055136
0.36,1.596929,0.053908
0.36,1.599478,0.052712
0.36,1.601968,0.051543
0.36,1.604409,0.050407
0.36,1.606788,0.049297
0.36,1.609125,0.048237
0.36,1.611402,0.047168
0.36,1.613636,0.046137
0.36,1.615813,0.045123
0.36,1.617948,0.044116
0.36,1.620030,0.043140
0.36,1.622073,0.042187
0.36,1.624066,0.041266
0.36,1.626024,0.040376
0.36,1.627931,0.039506
0.36,1.629800,0.038635
0.36,1.631621,0.037778
0.36,1.633409,0.036926
0.36,1.635151,0.036101
0.36,1.636861,0.035303
0.36,1.638526,0.034522
0.36,1.640159,0.033750
0.36,1.641753,0.033010
0.36,1.643320,0.032295
0.36,1.644844,0.031588
0.36,1.646341,0.030911
0.36,1.647797,0.030220
0.36,1.649229,0.029547
0.36,1.650622,0.028890
0.36,1.651991,0.028248
0.36,1.653323,0.027631
0.36,1.654633,0.027021
0.36,1.655907,0.026427
0.36,1.657158,0.025836
0.36,1.658377,0.025270
0.36,1.659575,0.024708
0.36,1.660740,0.024165
0.36,1.661887,0.023646
0.36,1.663002,0.023122
0.36,1.664098,0.022617
0.36,1.665165,0.022124
0.36,1.666212,0.021625
0.36,1.667232,0.021153
0.36,1.668235,0.020686
0.36,1.669209,0.020218
0.36,1.670170,0.019787
0.36,1.671103,0.019352
0.36,1.672019,0.018919
0.36,1.672911,0.018512
0.36,1.673789,0.018095
0.36,1.674643,0.017702
0.36,1.675483,0.017318
0.36,1.676298,0.016933
0.36,1.677101,0.016563
0.36,1.677883,0.016198
0.36,1.678653,0.015850
0.36,1.679400,0.015510
0.36,1.680132,0.015154
0.36,1.680843,0.014801
0.36,1.681544,0.014457
0.36,1.682228,0.014140
0.36,1.682901,0.013845
0.36,1.683553,0.013548
0.36,1.684197,0.013265
0.36,1.684823,0.012976
0.36,1.685440,0.012694
0.36,1.686038,0.012425
0.36,1.686628,0.012154
0.36,1.687201,0.011890
0.36,1.687765,0.011624
0.38,0.027826,0.000000
0.38,0.021347,0.000000
0.38,0.022065,0.000000
0.38,0.080908,0.000000
0.38,0.032544,0.023588
0.38,0.045253,0.119527
0.38,0.039040,0.084873
0.38,0.051185,-0.148614
0.38,0.044416,0.059359
0.38,0.056467,0.056072
0.38,0.049545,0.052526
0.38,0.061638,0.052266
0.38,0.054841,0.052124
0.38,0.067522,0.055272
0.38,0.062616,0.065358
0.38,0.188566,0.634638
0.38,0.280065,1.126120
0.38,0.381958,1.572183
0.38,0.420241,1.788121
0.38,0.496374,1.539041
0.38,0.548416,1.341756
0.38,0.593655,1.058484
0.38,0.564383,0.720713
0.38,0.657698,0.806620
0.38,0.669098,0.603411
0.38,0.674862,0.406036
0.38,0.678490,0.570531
0.38,0.727817,0.350594
0.38,0.745389,0.381457
0.38,0.767077,0.461075
0.38,0.778736,0.501232
0.38,0.809463,0.408230
0.38,0.831286,0.429483
0.38,0.857526,0.452243
0.38,0.885436,0.533501
0.38,0.915554,0.530455
0.38,0.937985,0.533494
0.38,0.964464,0.534694
0.38,0.984331,0.494477
0.38,1.008878,0.466621
0.38,1.027081,0.445482
0.38,1.049845,0.426903
0.38,1.065599,0.406336
0.38,1.087045,0.390838
0.38,1.103065,0.379919
0.38,1.124223,0.371891
0.38,1.139693,0.370473
0.38,1.159968,0.364615
